,Name,Smiles
1026,Lubiprostone,CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@H]2CCCCCCC(O)=O)O1
1027,Fluocinonide,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]23C
1028,Abacavir,Nc1nc(NC2CC2)c3ncn([C@@H]4C[C@H](CO)C=C4)c3n1
1029,Ergoloid mesylate,CCC(C)(C)C1N2C(=O)C(NC(=O)C3CC4C(Cc5c[nH]c6cccc4c56)N(C)C3)(OC2(O)C7CCCN7C1=O)C(C)C
1030,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(O)=O
1031,Novobiocin,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3C(=O)C(=C(O)Oc3c2C)NC(=O)c4ccc(O)c(CC=C(C)C)c4)OC1(C)C
1032,Benzylpenicillin,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(O)=O
1033,Nitrendipine,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+]([O-])=O)C(=O)OC)C
1034,Mimosine,NC(CN1C=CC(=O)C(=C1)O)C(O)=O
1035,Tocainide,CC(N)C(=O)Nc1c(C)cccc1C
1036,Echothiophate,[I-].CCO[P](=O)(OCC)SCC[N+](C)(C)C
1037,Praziquantel,O=C1CN(CC2N1CCc3ccccc23)C(=O)C4CCCCC4
1038,Norfloxacin,CCN1C=C(C(O)=O)C(=O)c2cc(F)c(cc12)N3CCNCC3
1039,Amoxicillin,O.O.O.CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O
1040,Azlocillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](NC(=O)N3CCNC3=O)c4ccccc4)C(=O)N2[C@H]1C(O)=O
1041,Oxybutynin,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2
1042,Acetophenazine,CC(=O)c1ccc2Sc3ccccc3N(CCCN4CCN(CCO)CC4)c2c1
1043,Isoprenaline,CC(C)NCC(O)c1ccc(O)c(O)c1
1044,Melatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
1045,Cefditoren,CO\N=C(C(=O)NC1[C@H]2SCC(=C(N2C1=O)C(O)=O)\C=C/c3scnc3C)\c4csc(N)n4
1046,Glipizide,Cc1cnc(cn1)C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3
1047,Clonazepam,[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1
1048,Promethazine,CC(CN1c2ccccc2Sc3ccccc13)N(C)C
1049,Dihydrotachysterol,CC(C)C(C)/C=C/C(C)C1CCC2C(/CCCC12C)=C/C=C3/CC(O)CCC3C
1050,Mequitazine,C1CN2CCC1C(C2)CN3c4ccccc4Sc5ccccc35
1051,Atazanavir,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc2ccc(cc2)c3ccccn3)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
1052,Fludarabine,Nc1nc(F)nc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O
1053,Perhexiline,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3
1054,Diphenhydramine,CN(C)CCOC(c1ccccc1)c2ccccc2
1055,Atorvastatin,CC(C)c1n(CC[C@@H](O)C[C@@H](O)CC(O)=O)c(c2ccc(F)cc2)c(c3ccccc3)c1C(=O)Nc4ccccc4
1056,Etidronic acid,CC(O)([P](O)(O)=O)[P](O)(O)=O
1057,Deslanoside,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](C)O3)[C@@H](C)O2)O[C@H]5CC[C@@]6(C)[C@H](CC[C@@H]7[C@@H]6C[C@@H](O)[C@]8(C)[C@H](CC[C@]78O)C9=CC(=O)OC9)C5
1058,Tegaserod,CCCCCN=C(N)NN/C=C/1C=Nc2ccc(CO)cc12
1059,Vigabatrin,NC(CCC(O)=O)C=C
1060,Diphenoxylate,[H+].[Cl-].CCOC(=O)C1(CCN(CC1)CCC(C#N)(c2ccccc2)c3ccccc3)c4ccccc4
1061,Streptomycin,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]2[C@@H](O[C@@H](C)[C@]2(O)C=O)O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N
1062,Orlistat,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
1063,Emedastine,CCOCCn1c2ccccc2nc1N3CCCN(C)CC3
1064,Pilocarpine,CC[C@H]1[C@H](COC1=O)Cc2cncn2C
1065,Benzocaine,CCOC(=O)c1ccc(N)cc1
1066,Primaquine,COc1cc(NC(C)CCCN)c2ncccc2c1
1067,Iloprost,CC#CCC(C)[C@H](O)/C=C/C1[C@H](O)C[C@@H]2CC(/C[C@H]12)=C\CCCC(O)=O
1068,Deserpidine,CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6
1069,Pentolinium,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1
1070,Butenafine,CN(Cc1ccc(cc1)C(C)(C)C)Cc2cccc3ccccc23
1071,Ouabain,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)C4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)C4CC[C@]3(O)C2)C6=CC(=O)OC6)[C@H](O)[C@H](O)[C@H]1O
1072,Dimethyl sulfoxide,C[S](C)=O
1073,Hesperetin,COc1ccc(cc1O)[C@@H]2CC(=O)c3c(O)cc(O)cc3O2
1074,Fluvastatin,CC(C)n1c2ccccc2c(c3ccc(F)cc3)c1\C=C\[C@@H](O)C[C@H](O)CC(O)=O
1075,Oxamniquine,CC(C)NCC1CCc2cc(CO)c(cc2N1)[N+]([O-])=O
1076,Leflunomide,Cc1oncc1C(=O)Nc2ccc(cc2)C(F)(F)F
1077,Rosuvastatin,CC(C)c1nc(nc(c2ccc(F)cc2)c1CC[C@@H](O)C[C@@H](O)CC(O)=O)N(C)[S](C)(=O)=O
1078,Flucytosine,NC1=C(F)C=NC(=O)N1
1079,Pimozide,Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5
1080,Capecitabine,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]2O[C@H](C)[C@@H](O)[C@H]2O
1081,Arbutamine,O[C@@H](CNCCCCc1ccc(O)cc1)c2ccc(O)c(O)c2
1082,Quinacrine,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc3ccc(OC)cc13
1083,Sertraline,[Cl-].CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13.[H+]
1084,Sibutramine,CC(C)CC(N(C)C)C1(CCC1)c2ccc(Cl)cc2
1085,Levocabastine,C[C@@H]1CN(CC[C@]1(C(O)=O)c2ccccc2)C3CC[C@@](CC3)(C#N)c4ccc(F)cc4
1086,Methyprylon,CCC1(CC)C(=O)NCC(C)C1=O
1087,Trilostane,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(=C(C[C@]35C)C#N)O)[C@@H]1CC[C@@H]2O
1088,Heparin,CC(=O)NC1C(O)OC(CO[S](O)(=O)=O)C(OC2OC(C(OC3OC(CO)C(OC4OC(C(O)C(O)C4O[S](O)(=O)=O)C(O)=O)C(O[S](O)(=O)=O)C3N[S](O)(=O)=O)C(O)C2O[S](O)(=O)=O)C(O)=O)C1O
1089,Miconazole,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1
1090,Colistimethate,CCC(C)CCCCC(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC(C(C)O)C(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC1CCNC(=O)C(NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS([O-])(=O)=O)NC1=O)C(C)O
1091,Cefuroxime,CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)COC(N)=O)/c3occc3
1092,Papaverine,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
1093,Chlorpheniramine,CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2.OC(=O)\C=C/C(O)=O
1094,Nifedipine,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+]([O-])=O)C(=O)OC)C
1095,Trimethaphan,CC1(C)C2CCC1(C[S]([O-])(=O)=O)C(=O)C2.O=C3N(Cc4ccccc4)C5C[S+]6CCCC6C5N3Cc7ccccc7
1096,Atovaquone,OC1=C(C2CCC(CC2)c3ccc(Cl)cc3)C(=O)C(=O)c4ccccc14
1097,Amiodarone,CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3
1098,Diazoxide,CC1=N[S](=O)(=O)c2cc(Cl)ccc2N1
1099,Gliclazide,Cc1ccc(cc1)[S](=O)(=O)NC(=O)NN2CC3CCCC3C2
1100,Phenacemide,NC(=O)NC(=O)Cc1ccccc1
1101,Ambenonium,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc2ccccc2Cl
1102,Proflavine,Nc1ccc2cc3ccc(N)cc3nc2c1
1103,Tolbutamide,CCCCNC(=O)N[S](=O)(=O)c1ccc(C)cc1
1104,Anisindione,COc1ccc(cc1)C2C(=O)c3ccccc3C2=O
1105,Dutasteride,C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)Nc5cc(ccc5C(F)(F)F)C(F)(F)F
1106,Econazole,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1
1107,Bicalutamide,CC(O)(C[S](=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F
1108,Rabeprazole,COCCCOc1ccnc(C[S](=O)c2[nH]c3ccccc3n2)c1C
1109,Prednicarbate,CCOC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C)C(=O)COC(=O)CC
1110,Proguanil,CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1
1111,Pioglitazone,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
1112,Tiludronic acid,O[P](O)(=O)C(Sc1ccc(Cl)cc1)[P](O)(O)=O
1113,Desoxycorticosterone pivalate,CC(C)(C)C(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
1114,Doxacurium,[Cl-].[Cl-].COc1cc(CC2c3c(CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]4(C)CCc5cc(OC)c(OC)c(OC)c5C4Cc6cc(OC)c(OC)c(OC)c6)cc(OC)c(OC)c3OC)cc(OC)c1OC
1115,Carvedilol,COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23
1116,Levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O
1117,Sulfinpyrazone,O=C1C(CC[S](=O)c2ccccc2)C(=O)N(N1c3ccccc3)c4ccccc4
1118,Cefapirin,[Na].CC(=O)OCC1=C(N2C(SC1)C(NC(=O)CSc3ccncc3)C2=O)C(O)=O
1119,Cefadroxil,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(O)=O
1120,Micafungin,CCCCCOc1ccc(cc1)c2onc(c2)c3ccc(cc3)C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@@H](O)CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)[C@H](O)[C@@H](O)c7ccc(O)c(O[S](O)(=O)=O)c7)[C@H](O)CC(N)=O
1121,Doxepin,[H+].[Cl-].CN(C)CC\C=C/1c2ccccc2COc3ccccc13
1122,Amifostine,NCCCNCCS[P](O)(O)=O
1123,Diclofenamide,N[S](=O)(=O)c1cc(Cl)c(Cl)c(c1)[S](N)(=O)=O
1124,Sulfoxone,[Na+].[Na+].[O-][S](=O)CNc1ccc(cc1)[S](=O)(=O)c2ccc(NC[S]([O-])=O)cc2
1125,Diphenylpyraline,CN1CCC(CC1)OC(c2ccccc2)c3ccccc3
1126,Cloxacillin,Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O
1127,Flavoxate,CC1=C(Oc2c(cccc2C1=O)C(=O)OCCN3CCCCC3)c4ccccc4
1128,Nefazodone,[H+].[Cl-].CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4
1129,Cefprozil,O.C/C=C/C1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(O)=O
1130,Desipramine,CNCCCN1c2ccccc2CCc3ccccc13
1131,Candicidin,CC\1COC(=O)CC(=O)CCCC(=O)CC(O)CC(O)CC(O)CC(=O)CC(O)C(C(O)CC(OC2OC(C)C(O)C(N)C2O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C1)C(O)=O
1132,Sertaconazole,Clc1ccc(C(Cn2ccnc2)OCc3csc4c(Cl)cccc34)c(Cl)c1
1133,Thiamylal,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O
1134,Gemifloxacin,CO\N=C1/CN(CC1CN)c2nc3N(C=C(C(O)=O)C(=O)c3cc2F)C4CC4
1135,Bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
1136,Trimetrexate,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
1137,Bretylium,CC[N+](C)(C)Cc1ccccc1Br
1138,Halothane,FC(F)(F)C(Cl)Br
1139,Dinoprost tromethamine,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O.NC(CO)(CO)CO
1140,Chloroprocaine,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl
1141,Terazosin,[H+].O.[Cl-].COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4CCCO4
1142,Amdinocillin,CC1(C)S[C@@H]2[C@H](N=CN3CCCCCC3)C(=O)N2[C@H]1C(O)=O
1143,Calcium chloride,[Cl-].[Cl-].[Ca++]
1144,Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O
1145,Cilostazol,O=C1CCc2cc(OCCCCc3nnnn3C4CCCCC4)ccc2N1
1146,Itraconazole,CCC(C)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(OC[C@H]5CO[C@@](Cn6cncn6)(O5)c7ccc(Cl)cc7Cl)cc4
1147,Procarbazine,CNNCc1ccc(cc1)C(=O)NC(C)C
1148,Arsenic trioxide,O=[As]O[As]=O
1149,Guanethidine,NC(N)=NCCN1CCCCCCC1
1150,Moclobemide,Clc1ccc(cc1)C(=O)NCCN2CCOCC2
1151,Kanamycin,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O
1152,Orphenadrine,CN(C)CCOC(c1ccccc1)c2ccccc2C
1153,Phenobarbital,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2
1154,Escitalopram,CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c3ccc(F)cc3
1155,Cyclizine,CN1CCN(CC1)C(c2ccccc2)c3ccccc3
1156,Idarubicin,C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]2C[C@@](O)(Cc3c(O)c4C(=O)c5ccccc5C(=O)c4c(O)c23)C(C)=O
1157,Chlormezanone,CN1C(c2ccc(Cl)cc2)[S](=O)(=O)CCC1=O
1158,Podofilox,COc1cc(cc(OC)c1OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](O)c4cc5OCOc5cc24
1159,Rescinnamine,CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)\C=C\c6cc(OC)c(OC)c(OC)c6
1160,Ifosfamide,ClCCN[P]1(=O)OCCCN1CCCl
1161,Propafenone,CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2
1162,Naloxone,Oc1ccc2C[C@H]3N(CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O)CC=C
1163,Domperidone,Clc1ccc2N(C3CCN(CCCN4C(=O)Nc5ccccc45)CC3)C(=O)Nc2c1
1164,Fluoxymesterone,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C
1165,Pergolide,CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34
1166,Iophendylate,CCOC(=O)CCCCCCCCC(C)c1ccc(I)cc1
1167,Ciclopirox,CC1=CC(=O)N(O)C(=C1)C2CCCCC2.NCCO
1168,Desflurane,FC(F)OC(F)C(F)(F)F
1169,Clindamycin,CCC[C@@H]1C[C@H](N(C)C1)C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O
1170,Dexfenfluramine,CCNC(C)Cc1cccc(c1)C(F)(F)F
1171,Oxymorphone,CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)CCC4=O)c35
1172,Acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O
1173,Brinzolamide,CCN[C@H]1CN(CCCOC)[S](=O)(=O)c2sc(cc12)[S](N)(=O)=O
1174,Flecainide,FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2
1175,Estramustine,C[C@]12CC[C@H]3[C@@H](CCc4cc(OC(=O)N(CCCl)CCCl)ccc34)[C@@H]1CC[C@@H]2O
1176,Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O
1177,Zopiclone,CN1CCN(CC1)C(=O)OC2N(C(=O)c3nccnc23)c4ccc(Cl)cn4
1178,Tubocurarine,COc1cc2CC[N+](C)(C)[C@@H]3Cc4ccc(O)c(Oc5cc6[C@H](Cc7ccc(Oc(c1O)c23)cc7)N(C)CCc6cc5OC)c4
1179,Bromocriptine,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C
1180,Rifapentine,CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4C(=C(NC(=O)C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)\C)C(=C/NN5CCN(CC5)C6CCCC6)\C(=O)c4c3C2=O)O
1181,Levetiracetam,CC[C@H](N1CCCC1=O)C(N)=O
1182,Nadolol,CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12
1183,Mitoxantrone,OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12
1184,Flumazenil,CCOC(=O)c1ncn2c1CN(C)C(=O)c3cc(F)ccc23
1185,Lomustine,ClCCN(N=O)C(=O)NC1CCCCC1
1186,Ridogrel,OC(=O)CCCCO\N=C(c1cccnc1)/c2cccc(c2)C(F)(F)F
1187,Sparfloxacin,C[C@H]1CN(C[C@@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(O)=O
1188,Dezocine,[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)[C@H]2N
1189,Levobunolol,CC(C)(C)NC[C@H](O)COc1cccc2C(=O)CCCc12
1190,Clarithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC
1191,Ceftriaxone,CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSC3=NC(=O)C(=O)NN3C)/c4csc(N)n4
1192,Fomepizole,Cc1c[nH]nc1
1193,Metipranolol,CC(C)NCC(O)COc1cc(C)c(OC(C)=O)c(C)c1C
1194,Estazolam,Clc1ccc2n3cnnc3CN=C(c4ccccc4)c2c1
1195,Finasteride,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
1196,Anastrozole,CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N
1197,Halofantrine,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c3cc(ccc13)C(F)(F)F
1198,Dantrolene,[O-][N+](=O)c1ccc(cc1)c2oc(cc2)\C=N\N3CC(=O)NC3=O
1199,Rifaximin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)/C)c5n6ccc(C)cc6nc5c4c3C2=O
1200,Ketamine,CNC1(CCCCC1=O)c2ccccc2Cl
1201,Budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
1202,Aminophylline,CN1C(=O)N(C)c2nc[nH]c2C1=O.CN3C(=O)N(C)c4nc[nH]c4C3=O.NCCN
1203,Quetiapine,OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24
1204,Enoxaparin,CC(=O)NC1C(O)OC(CO[S](O)(=O)=O)C(OC2OC(C(OC3OC(CO)C(OC4OC(C(O)C(O)C4O[S](O)(=O)=O)C(O)=O)C(O[S](O)(=O)=O)C3N[S](O)(=O)=O)C(O)C2O[S](O)(=O)=O)C(O)=O)C1O
1205,Mivacurium,COc1cc2CC[N+](C)(CCCOC(=O)CC\C=C\CCC(=O)OCCC[N+]3(C)CCc4cc(OC)c(OC)cc4[C@H]3Cc5cc(OC)c(OC)c(OC)c5)[C@H](Cc6cc(OC)c(OC)c(OC)c6)c2cc1OC
1206,Levacetylmethadol,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2
1207,Encainide,COc1ccc(cc1)C(=O)Nc2ccccc2CCC3CCCCN3C
1208,Paclitaxel,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)C2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C
1209,Pemoline,NC1=NC(=O)C(O1)c2ccccc2
1210,Diphenidol,OC(CCCN1CCCCC1)(c2ccccc2)c3ccccc3
1211,Saquinavir,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(N)=O)NC(=O)c4ccc5ccccc5n4
1212,Metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
1213,Dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
1214,Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O
1215,Sevoflurane,FCOC(C(F)(F)F)C(F)(F)F
1216,Bromodiphenhydramine,CN(C)CCOC(c1ccccc1)c2ccc(Br)cc2
1217,Aripiprazole,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl
1218,Chlorprothixene,CN(C)CC\C=C/1c2ccccc2Sc3ccc(Cl)cc13
1219,Epoprostenol,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@@H]2OC(/C[C@H]12)=C\CCCC(O)=O
1220,Gemfibrozil,Cc1ccc(C)c(OCCCC(C)(C)C(O)=O)c1
1221,Clomipramine,CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13
1223,Bepridil,CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3
1224,Decamethonium,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C
1225,Alimemazine,CC(CN(C)C)CN1c2ccccc2Sc3ccccc13
1226,Isocarboxazid,Cc1onc(c1)C(=O)NNCc2ccccc2
1227,Docetaxel,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C
1228,Iodixanol,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c2c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c2I
1229,Olsalazine,OC(=O)c1cc(N\N=C/2C=CC(=O)C(=C2)C(O)=O)ccc1O
1230,Gliquidone,COc1ccc2c(c1)C(=O)N(CCc3ccc(cc3)[S](=O)(=O)NC(=O)NC4CCCCC4)C(=O)C2(C)C
1231,Mitiglinide,OC(=O)C(CC(=O)N1CC2CCCCC2C1)Cc3ccccc3
1232,Ergometrine,C[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34.OC(=O)\C=C/C(O)=O
1233,Dasatinib,Cc1nc(Nc2sc(cn2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4
1234,Lisdexamfetamine,C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN
1235,Retapamulin,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@]1(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]3C)OC(=O)CSC4C[C@@H]5CC[C@H](C4)N5C
1237,Lapatinib,C[S](=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2
1238,Desonide,CC1(C)O[C@@H]2C[C@H]3C4CCC5=CC(=O)C=CC5(C)[C@H]4C(O)CC3(C)[C@@]2(O1)C(=O)CO
1239,Sitagliptin,N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3cc(F)c(F)cc3F.O[P](O)(O)=O
